,w,thetav
257,0.17525,294.0295247638099
258,0.079,293.9759405251421
259,0.0525,294.0696289286622
260,-0.00175,294.0289725171543
261,0.013000000000000001,294.0553838749919
262,-0.01675,294.01047712197703
263,0.044000000000000004,294.06228711563466
264,0.09175,294.0899204718268
265,0.0815,294.03639741402145
266,-0.02975,294.0990089172379
267,-0.0925,294.1422069844391
268,0.174,294.0644586217521
269,0.2405,294.02853621820213
270,0.151,293.9897572032382
271,0.07375,293.9673140235412
272,0.42075,294.0018302267553
273,0.27125,294.07610379373074
274,0.38825,294.12917875132877
275,0.50375,294.2769918886407
276,0.6192501,294.23160515237646
277,0.45875,294.22817902408104
278,0.65025,294.22992267865993
279,0.71425,294.1901551180883
280,0.6920000000000001,294.20397179618436
281,0.6195,294.2449660505098
282,0.84725,294.2355376527642
283,0.8800001000000001,294.1698737352221
284,0.95175,294.0782767003776
285,0.8050001,294.1970583587311
286,0.74125,294.12278479175563
287,0.6295,294.1400581885784
288,0.7262501,294.0605434610558
289,0.5840001,294.1296880323985
290,0.54575,294.26220923174407
291,-0.0185,294.14742828056916
292,-0.47675,294.13831453399945
293,-0.35475,294.17362527282995
294,-0.27725,294.17808209457115
295,-0.304,294.15906504316956
296,-0.33875,294.23334880695535
297,-0.4095,294.2558123802732
298,-0.2175,294.20615766418854
299,-0.42175,294.2617492854194
300,-0.4255,294.23108788985934
301,-0.5095,294.29900606914026
302,-0.39925,294.292092631687
303,-0.461,294.2639529242284
304,-0.18825,294.2390870096234
305,-0.47200000000000003,294.2148803079182
306,-0.44975,294.2489091396303
307,-0.5420001,294.2518796382548
308,-0.612,294.3409731619222
309,-0.20175,294.1906634096242
310,-0.26,294.2598064779742
311,-0.26325,294.20913138224824
312,-0.11525,294.1970583587311
313,-0.308,294.23160515237646
314,-0.299,294.2203025526673
315,-0.33775,294.2649176413399
316,-0.1345,294.25406872569425
317,-0.12325,294.21778847428044
318,-0.23925,294.1711686571179
319,-0.1765,294.1711686571179
320,0.5065,294.0696289286622
321,0.78925,294.1435047104946
322,0.52,294.13831453399945
323,0.4585,294.1326355452013
324,0.419,294.07733704027316
325,0.40725,294.0968950901425
326,0.2215,294.0899204718268
327,0.113,294.2161060005639
328,0.14575,294.2212757834383
329,-0.052000000000000005,294.1874408504139
330,0.38275,294.0605434610558
331,0.326,294.15451983345025
332,0.475,294.1378258345261
333,0.42825,294.0968950901425
334,0.272,294.12527584928495
335,0.5760000000000001,294.07959110288857
336,0.6192501,294.083017231184
337,0.6970000000000001,294.13043502438273
338,0.48575,294.1204908800032
339,0.64675,294.11457082718806
340,0.47525,294.0319620736031
341,0.6217501,294.0531190891015
342,0.61425,294.00479535411085
343,0.68725,294.06228711563466
344,0.619,294.10591285762865
345,0.5585001,294.09558244165254
346,0.637,294.0588609873393
347,0.496,294.2044138328638
348,0.44875,294.27873571996537
349,0.545,294.13831453399945
350,0.47425,294.1378258345261
351,0.6565,294.0959317664164
352,0.63775,294.10302322464344
353,0.899,294.0882074076791
354,0.8905001,294.1072244590807
355,0.9355,294.1232185989035
356,0.9535,294.14742828056916
357,1.036,294.0903509476784
358,0.81025,294.07442132001427
359,0.66725,294.0704234525282
360,0.6792501,294.0544238576751
361,0.70025,294.0911540187312
362,0.7885,294.13956952701045
363,0.8362501,294.15906504316956
364,0.8590000000000001,294.1794841554538
365,0.98625,294.07216714501254
366,1.0725,294.0173803626199
367,0.92825,294.0531190891015
368,1.00375,294.0692005530879
369,1.0765,294.00873346739814
370,0.77675,293.9655397785311
371,0.8117501,293.9594277422874
372,0.7615001,293.9387094739105
373,0.7975,294.0398235423169
374,0.80075,293.94997944585606
375,0.784,293.9460400553102
376,0.83,293.9041348439566
377,0.8775001,293.85327289599405
378,0.89025,293.87056668643754
379,0.867,293.8118534521371
380,0.8520001,293.8623577492797
381,0.85175,293.8575595241014
382,0.873,293.83896102151897
