DateTime,Temperature,Dewpoint Temp,Humidity,Atmospheric Pressure,Wind Speed,Wind Direction,Solar Irradiance
2026-03-31 00:24:42,17.0,11.6551,71,1014.5,2.55,99.9,-0.962
2026-03-31 00:24:52,17.0,11.6551,70,1014.5,2.86,95.0,-0.89
2026-03-31 00:25:02,17.1,11.5443,70,1014.5,2.85,92.8,-0.939
2026-03-31 00:25:12,17.1,11.5443,70,1014.5,2.82,93.0,-0.867
2026-03-31 00:25:22,17.1,11.5443,70,1014.5,2.79,94.4,-0.959
2026-03-31 00:25:32,17.1,11.5443,70,1014.5,2.71,97.7,-0.832
2026-03-31 00:25:42,17.0,11.5443,70,1014.5,2.92,99.5,-0.882
2026-03-31 00:25:52,17.1,11.6551,70,1014.5,3.0,96.6,-0.916
2026-03-31 00:26:02,17.1,11.6551,70,1014.5,2.73,98.7,-0.92
2026-03-31 00:26:12,17.0,11.5443,70,1014.5,2.88,102.8,-0.828
2026-03-31 00:26:22,17.0,11.5443,70,1014.5,2.94,98.3,-0.817
2026-03-31 00:26:32,16.9,11.5443,71,1014.5,2.58,94.9,-0.859
2026-03-31 00:26:42,17.0,11.5443,70,1014.5,2.59,93.1,-0.824
2026-03-31 00:26:52,17.0,11.5443,71,1014.5,2.26,102.2,-0.924
2026-03-31 00:27:02,17.1,11.5443,70,1014.5,2.81,101.9,-0.936
2026-03-31 00:27:12,17.1,11.5443,70,1014.5,2.57,97.7,-0.897
2026-03-31 00:27:22,17.1,11.5443,70,1014.5,2.72,99.8,-0.92
2026-03-31 00:27:32,17.0,11.5443,70,1014.5,2.79,101.1,-0.874
2026-03-31 00:27:42,17.0,11.6551,71,1014.5,2.19,105.9,-0.859
2026-03-31 00:27:52,17.1,11.5443,70,1014.5,2.23,109.5,-0.874
2026-03-31 00:28:02,17.2,11.5443,69,1014.5,1.66,100.4,-0.817
2026-03-31 00:28:12,17.1,11.5443,70,1014.5,2.01,96.5,-0.863
2026-03-31 00:28:22,17.1,11.6551,70,1014.5,2.55,103.0,-0.936
2026-03-31 00:28:32,17.1,11.5443,70,1014.5,2.41,109.1,-0.84
